Threads, Iter 1, Iter 2, Iter 3, Iter 4, Iter 5
1, 0.028605, 0.01448, 0.011059, 0.012357, 0.013641, 
2, 0.0722, 0.037025, 0.036503, 0.052743, 0.048125, 
3, 0.127522, 0.06909, 0.069069, 0.094935, 0.093338, 
4, 0.21619, 0.12272, 0.116172, 0.149872, 0.162622, 
5, 0.316365, 0.202513, 0.186436, 0.181539, 0.235426, 
6, 0.313396, 0.240423, 0.228505, 0.266934, 0.348696, 
7, 0.306111, 0.285955, 0.3585, 0.325791, 0.390338, 
8, 0.53855, 0.543567, 0.518893, 0.539516, 0.579685, 
9, 0.101782, 0.213772, 0.157221, 0.104383, 0.120553, 
10, 0.137181, 0.091879, 0.094344, 0.091104, 0.091958, 
11, 0.183696, 0.114998, 0.102451, 0.10531, 0.107239, 
12, 0.170809, 0.189074, 0.12941, 0.114637, 0.160446, 
13, 0.119261, 0.185871, 0.178826, 0.178576, 0.156377, 
14, 0.128875, 0.154348, 0.168282, 0.176421, 0.180215, 
15, 0.135962, 0.141295, 0.149426, 0.189521, 0.179624, 
